feature,coefficient,abs_coefficient,rank
purpose_repair,0.9568524143038003,0.9568524143038003,1
savings_>1000,0.8250038555697685,0.8250038555697685,2
employment_duration_unemployed,-0.4967311912398633,0.4967311912398633,3
purpose_vacation,-0.4083210082063822,0.4083210082063822,4
purpose_appliance,-0.3607688027928065,0.3607688027928065,5
savings_unknown,-0.26298904961405356,0.26298904961405356,6
savings_100-500,-0.25323016905043094,0.25323016905043094,7
savings_500-1000,-0.2477802613492551,0.2477802613492551,8
purpose_furniture,-0.2264859688150754,0.2264859688150754,9
purpose_business,0.21722464252557636,0.21722464252557636,10
employment_duration_<1,0.19694088182102817,0.19694088182102817,11
credit_history_good,-0.18595322904020498,0.18595322904020498,12
residence_since,0.18505089239411535,0.18505089239411535,13
purpose_tv,-0.14725363027920602,0.14725363027920602,14
credit_history_critical,0.14206031514966602,0.14206031514966602,15
employment_duration_4-7,0.1383252579563453,0.1383252579563453,16
checking_account_<0,0.10882267388128497,0.10882267388128497,17
checking_account_>200,-0.10034293496021825,0.10034293496021825,18
employment_duration_1-4,0.08967617487440585,0.08967617487440585,19
employment_duration_>7,0.08377357464204618,0.08377357464204618,20
purpose_other,-0.07372606132899862,0.07372606132899862,21
purpose_retraining,0.06396770706794679,0.06396770706794679,22
credit_history_very_good,0.05956595279442664,0.05956595279442664,23
installment_rate,0.0588675464337498,0.0588675464337498,24
existing_credits,-0.05013106543393056,0.05013106543393056,25
savings_<100,-0.049019677502063055,0.049019677502063055,26
credit_amount,0.04860818844540212,0.04860818844540212,27
dependents,-0.045785047170224975,0.045785047170224975,28
checking_account_0-200,0.0363497647873498,0.0363497647873498,29
checking_account_none,-0.032844805654453156,0.032844805654453156,30
credit_history_poor,-0.02203805912562481,0.02203805912562481,31
duration,-0.02065126355936087,0.02065126355936087,32
credit_history_fair,0.018349718275700876,0.018349718275700876,33
purpose_car,-0.009504594420888222,0.009504594420888222,34
age,0.004934452745585737,0.004934452745585737,35
